candidate_id,seed,ticker,false_safe_count,mean_score,mean_actual
trial006_c_balanced,42,LITE,423,0.12952573597431183,-0.06692325323820114
trial006_c_balanced,42,CVNA,422,0.10145506262779236,-0.07064241915941238
trial006_c_balanced,42,UAL,413,0.08110931515693665,-0.05791561305522919
trial006_c_balanced,42,CCL,405,0.04847836494445801,-0.05368897691369057
trial006_c_balanced,42,EXPE,390,0.03847940266132355,-0.05339775234460831
trial006_c_balanced,42,FIX,390,0.08660707622766495,-0.05991559103131294
trial006_c_balanced,42,NCLH,383,0.03857554495334625,-0.05671956017613411
trial006_c_balanced,42,RL,372,0.06296656280755997,-0.04343387484550476
trial006_c_balanced,42,VST,371,0.11107097566127777,-0.06729721277952194
trial006_c_balanced,42,WFC,367,0.05140964686870575,-0.04299730807542801
trial006_c_balanced,42,ANET,366,0.040123987942934036,-0.06203063577413559
trial006_c_balanced,42,BKR,364,0.04319193586707115,-0.046075861901044846
trial006_c_balanced,42,IBM,363,0.049927935004234314,-0.045658305287361145
trial006_c_balanced,42,GE,360,0.09791299700737,-0.04400616139173508
trial006_c_balanced,42,LUV,347,0.04851726070046425,-0.04837874323129654
trial006_c_balanced,42,GM,342,0.04514521360397339,-0.042312141507864
trial006_c_balanced,42,EQT,341,0.04420376941561699,-0.045855700969696045
trial006_c_balanced,42,AVGO,341,0.037243131548166275,-0.05194979906082153
trial006_c_balanced,42,SYF,333,0.03965434059500694,-0.044030219316482544
trial006_c_balanced,42,DAL,330,0.03945154324173927,-0.049705397337675095
trial006_c_balanced,42,EBAY,326,0.04077036306262016,-0.049021024256944656
trial006_c_balanced,42,STX,326,0.1616634577512741,-0.05406266078352928
trial006_c_balanced,42,APH,326,0.07100175321102142,-0.049829788506031036
trial006_c_balanced,42,TPR,324,0.0815175399184227,-0.04869205132126808
trial006_c_balanced,42,GILD,320,0.05751786381006241,-0.034293949604034424
trial006_c_balanced,123,SATS,518,0.12712040543556213,-0.0634663924574852
trial006_c_balanced,123,RCL,487,0.07919076830148697,-0.05244939774274826
trial006_c_balanced,123,CCL,459,0.058109402656555176,-0.05245000496506691
trial006_c_balanced,123,IBKR,435,0.08783314377069473,-0.048840999603271484
trial006_c_balanced,123,CIEN,430,0.10783697664737701,-0.06251228600740433
trial006_c_balanced,123,AVGO,393,0.04045720398426056,-0.053186699748039246
trial006_c_balanced,123,LITE,388,0.12124187499284744,-0.06971127539873123
trial006_c_balanced,123,RL,383,0.05299284681677818,-0.043325670063495636
trial006_c_balanced,123,COHR,376,0.06901603192090988,-0.07397796213626862
trial006_c_balanced,123,BKR,375,0.04461653530597687,-0.04581671580672264
trial006_c_balanced,123,CVNA,365,0.06192062422633171,-0.07545917481184006
trial006_c_balanced,123,GE,361,0.08839011192321777,-0.04395556077361107
trial006_c_balanced,123,UAL,356,0.08171594142913818,-0.05699162185192108
trial006_c_balanced,123,ORCL,352,0.03956081345677376,-0.054954566061496735
trial006_c_balanced,123,FIX,347,0.08405439555644989,-0.060267478227615356
trial006_c_balanced,123,TPR,339,0.07444718480110168,-0.0486237108707428
trial006_c_balanced,123,WFC,331,0.03266897052526474,-0.04307391867041588
trial006_c_balanced,123,EBAY,330,0.034525066614151,-0.048505835235118866
trial006_c_balanced,123,EXPE,330,0.028874477371573448,-0.05423158034682274
trial006_c_balanced,123,GM,326,0.039658162742853165,-0.042799193412065506
trial006_c_balanced,123,GILD,323,0.052644480019807816,-0.034206077456474304
