row_type,trial_number,classification,objective_score,seed,patch_geometry,lr,weight_decay,dropout,lambda_direction,line_gate_pass,val_ic,val_spread,val_fee,val_false_safe,val_severe,val_h1_false_safe,val_stress_false_safe,val_breadth_false_safe,test_ic,test_spread,test_fee,test_false_safe,test_severe,warnings,checkpoint_path
trial,34,C-alpha 후보,1.1525872791248315,123,p24_s12,0.001174956824721466,0.0003487521270733595,0.12,0.2,True,0.056551339077018925,0.010362847471181543,89.54798191073117,0.2876000070026785,0.703997949769349,0.29037204189087545,0.2448377581120944,0.26852008815053396,0.044524102218883886,0.006734920427927506,6.484076920208965,0.33346136163922785,0.6663491631514492,stress_false_safe_worse,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-47ab12cba943.pt
trial,27,C-alpha 후보,1.1050849398906328,123,p16_s8,0.0011096680875472785,0.00022378785260900982,0.05,0.1,True,0.05474427907495526,0.009644591094199208,58.805330598719436,0.28921645862875883,0.7006663249615582,0.2943065440027773,0.25663716814159293,0.2676159801096231,0.04344949764597976,0.005981437207219399,4.85488264464538,0.3413641997939908,0.6605922312821211,stress_false_safe_worse,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-5fcacf770075.pt
trial,31,C-risk 후보,1.0921996064043364,123,p16_s8,0.0012302839560371114,0.00025468175748697157,0.08,0.2,True,0.041216178333932554,0.008178370717148121,28.687260718381484,0.25580784650128674,0.7343527535736659,0.2631776890586125,0.20943952802359883,0.23427699610103409,0.04404290229859419,0.006235875084834051,5.560713367956775,0.32360900155379807,0.6773815380428525,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-3cdeaffed5bc.pt
trial,9,탈락 후보,1.0560772573131483,123,p24_s12,0.0003322450990660135,0.000157615493647492,0.15,0.1,True,0.07314358860238311,0.010424228067278694,112.42200578755634,0.3069040574686484,0.6738994247964007,0.27440259214256785,0.19469026548672566,0.27270158783974685,0.03548717994945988,0.004379928195912069,2.670420414155098,0.33662715247589287,0.656939196332311,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-7118193afbd3.pt
trial,33,탈락 후보,1.0489527492094664,123,p16_s8,0.0018612696186319684,0.00021963112077543747,0.08,0.15,True,0.04455318197397536,0.008836417421574153,42.40059189999714,0.288399479467563,0.7014778745942252,0.2985592779031418,0.25073746312684364,0.2679550206249647,0.04197664420735952,0.006354528483361086,5.550231749598485,0.3543823507160856,0.6482723970817589,stress_false_safe_worse,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-297fab69f5d7.pt
trial,3,C-alpha 후보,1.0438872370524575,123,p24_s12,0.0012018524284761398,1.6630614120192425e-05,0.08,0.05,True,0.05527220663989441,0.009628478372369142,57.38045004115503,0.3020897159830302,0.6916680904379521,0.3017415957877683,0.2713864306784661,0.279877945414477,0.04224157968911452,0.006308031436294994,5.242677969437913,0.33776194882359445,0.6622669750986528,stress_false_safe_worse,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-2eb559625c69.pt
trial,8,C-balanced 후보,1.0194252031155013,123,p16_s8,0.00036358353665573364,2.1915056115826683e-05,0.05,0.2,True,0.050948095079970154,0.008074657198152585,29.056312271267707,0.2753686618464896,0.7184919414545248,0.30237805936469364,0.22418879056047197,0.2557495620726677,0.04587066688278013,0.006945333758043499,7.573542528444664,0.33195411931074215,0.6683902571778473,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-a0941ead13eb.pt
trial,7,탈락 후보,0.9903833217585069,123,p16_s8,0.0005204633871673445,4.9756228730626754e-05,0.08,0.1,True,0.0536941103658705,0.009811901724898067,79.08315039143832,0.31111733571424405,0.6817444045788484,0.31782676618642597,0.25073746312684364,0.287223823246878,0.046447394187768325,0.007098892340963404,7.86496065069484,0.36754598834942415,0.6328019510765462,"h1_false_safe_worse,stress_false_safe_worse",ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-03e22c684e3f.pt
trial,16,C-risk 후보,0.9691030479167683,123,p32_s16,0.00046813217948500315,4.713157868591038e-05,0.1,0.3,True,0.046306310770683146,0.008468919334350301,26.1846997342831,0.27573630246902775,0.7120280198188963,0.2842388474223225,0.2153392330383481,0.2524156636718088,0.04097393669135618,0.005351132489016755,3.7905195913975493,0.3222414264681064,0.6778316254435455,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-1a1075f3efd1.pt
trial,30,탈락 후보,0.9642025942436173,123,p16_s8,0.0018280005961458508,5.557515762907258e-05,0.12,0.2,True,0.04431068931989917,0.010244186167512805,152.90083526770752,0.3127512940366357,0.6786975340281337,0.3202858300063646,0.26253687315634217,0.2898231338644968,0.042708166138082,0.006584479358049737,6.00946159648589,0.38269988419257783,0.6214555617195432,"h1_false_safe_worse,stress_false_safe_worse",ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-e72b13142b64.pt
trial,19,C-risk 후보,0.9599552540116464,123,p32_s16,0.0005553247164742311,2.3295149532184815e-05,0.08,0.2,True,0.050380065119740726,0.00676686884823077,9.703786250632985,0.23987091729253107,0.7473090722706305,0.23661979980327488,0.1710914454277286,0.21890715940554897,0.04121834921926591,0.005432112953489205,4.009541944838217,0.27880491395915896,0.7197420894522542,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-8e16ea484733.pt
trial,26,탈락 후보,0.9538266746622532,123,p16_s8,0.0008822714901648727,0.00014439594809370255,0.18,0.2,True,0.048603785335405485,0.009028449617182646,60.36974874929816,0.3065889369350443,0.6807762401047895,0.30067117977203034,0.26548672566371684,0.27857829010566765,0.042183021839154344,0.006170735502520867,6.038881637562544,0.38759987662726886,0.6150287323236023,stress_false_safe_worse,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-a8a95fffd290.pt
trial,22,탈락 후보,0.9508984370507643,123,p16_s8,0.0009467406307922305,0.0007051876179927005,0.12,0.15,True,0.04787273019002731,0.008160040484584515,28.08576195763022,0.2827623232553118,0.7081980750612221,0.294798356766765,0.23008849557522124,0.25851839294795725,0.04380467520040866,0.006281170518358167,5.900122433744777,0.35005848565792,0.6511299287187163,stress_false_safe_worse,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-ab63b392ccec.pt
trial,15,C-alpha 후보,0.9450211354168748,123,p32_s16,0.0007008146773447298,0.0001182823809411283,0.15,0.2,True,0.05411575727355668,0.008467627414805315,27.56114744555792,0.2862928403447652,0.7015775385842018,0.28177978360238387,0.21238938053097345,0.26043962253489295,0.04321909025516707,0.005885555522586717,4.887576608636447,0.3219038972980208,0.6773920051917058,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-8c8855bc5097.pt
trial,18,탈락 후보,0.9385018291830143,123,p16_s8,0.0009390674472720932,3.096133766147962e-05,0.18,0.15,True,0.04881707117365125,0.009176115584226813,70.41349154612581,0.31137410059347703,0.6779144598211744,0.3074408378175085,0.26253687315634217,0.2827597897948805,0.04139640418606827,0.00602064408013833,5.690489691894424,0.3847716149606895,0.6182316798727194,"h1_false_safe_worse,stress_false_safe_worse",ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-76a8e54d8492.pt
