candidate_id,seed,asof_date,false_safe_count,mean_score,mean_actual
trial024_c_risk,42,2025-04-02,605,0.027815483510494232,-0.0975484699010849
trial024_c_risk,42,2025-04-03,582,0.02397696115076542,-0.06569518148899078
trial024_c_risk,42,2026-03-04,571,0.04869036749005318,-0.04511469975113869
trial024_c_risk,42,2024-12-16,555,0.032221440225839615,-0.04399397224187851
trial024_c_risk,42,2024-12-17,535,0.03221774473786354,-0.038954734802246094
trial024_c_risk,42,2025-03-03,531,0.0328364260494709,-0.054287318140268326
trial024_c_risk,42,2025-02-28,526,0.03604234755039215,-0.05549263581633568
trial024_c_risk,42,2024-12-13,509,0.033700596541166306,-0.04491034895181656
trial024_c_risk,42,2024-12-06,506,0.04573865607380867,-0.038821734488010406
trial024_c_risk,42,2024-12-12,473,0.03233464062213898,-0.04683207347989082
trial024_c_risk,42,2024-12-05,466,0.04218438267707825,-0.0389888696372509
trial024_c_risk,42,2025-03-05,461,0.03460247814655304,-0.062348201870918274
trial024_c_risk,42,2024-10-18,453,0.03417353332042694,-0.03973174840211868
trial024_c_risk,42,2025-02-20,447,0.04437040537595749,-0.046038560569286346
trial024_c_risk,42,2025-02-19,443,0.045029401779174805,-0.05489129200577736
trial024_c_risk,42,2024-11-29,433,0.03529408201575279,-0.033500395715236664
trial024_c_risk,42,2024-11-13,432,0.03960595279932022,-0.04105956852436066
trial024_c_risk,42,2025-04-01,414,0.02705121412873268,-0.09660327434539795
trial024_c_risk,42,2024-11-11,408,0.04558796063065529,-0.042015962302684784
trial024_c_risk,123,2024-12-16,563,0.03223336860537529,-0.04421311244368553
trial024_c_risk,123,2025-04-02,524,0.027510451152920723,-0.09628548473119736
trial024_c_risk,123,2024-12-13,506,0.030849572271108627,-0.044567693024873734
trial024_c_risk,123,2024-12-06,480,0.03969810903072357,-0.0381525382399559
trial024_c_risk,123,2025-03-03,471,0.03304814547300339,-0.05501597002148628
trial024_c_risk,123,2024-12-12,457,0.0327603705227375,-0.046772509813308716
trial024_c_risk,123,2024-12-17,454,0.027995504438877106,-0.03837001323699951
trial024_c_risk,123,2025-02-28,442,0.033313825726509094,-0.05575932189822197
trial024_c_risk,123,2025-04-03,441,0.025536425411701202,-0.06461168825626373
trial024_c_risk,123,2026-03-02,421,0.05487802252173424,-0.053461939096450806
trial024_c_risk,123,2025-02-19,396,0.04265882074832916,-0.05658524110913277
trial024_c_risk,123,2024-12-05,394,0.0378795750439167,-0.038711708039045334
trial024_c_risk,123,2025-03-05,383,0.03138315677642822,-0.0617184154689312
trial024_c_risk,123,2024-11-29,381,0.03216256946325302,-0.03276212140917778
trial024_c_risk,123,2025-04-01,371,0.026593398302793503,-0.09965940564870834
trial024_c_risk,123,2025-02-20,351,0.04162906855344772,-0.047355324029922485
trial024_c_risk,123,2024-10-18,346,0.030259814113378525,-0.04024062305688858
trial024_c_risk,123,2024-12-11,343,0.032318711280822754,-0.041907478123903275
trial024_c_risk,123,2024-11-13,342,0.034149520099163055,-0.0388856865465641
trial024_c_risk,123,2026-03-04,338,0.045472998172044754,-0.04487612843513489
